snapshot_date,source_created_at,idProduct,name,idCategory,categoryName,idExpansion,idMetacard,dateAdded,avg,low,trend,avg1,avg7,avg30
2026-08-21,2026-08-21T02:48:06+0200,781941,Magic: The Gathering Foundations Collector Booster Box,7,Magic Display,5852,0,2024-08-07 11:49:07,593.99,329.95,548.3,,,
2026-08-21,2026-08-21T02:48:06+0200,842564,Magic: The Gathering | Avatar: The Last Airbender Collector Booster Box,7,Magic Display,6261,0,2025-08-13 11:34:30,345.39,289.95,363.76,,,
2026-08-21,2026-08-21T02:48:06+0200,869496,Magic: The Gathering | Marvel Super Heroes Collector Booster Box,7,Magic Display,6476,0,2026-01-28 13:25:37,318.48,282.99,326.31,,,
2026-08-21,2026-08-21T02:48:06+0200,814380,Magic: The Gathering | Marvel's Spider-Man Collector Booster Box,7,Magic Display,6070,0,2025-03-03 11:57:58,310.05,298,330.35,,,
2026-08-21,2026-08-21T02:48:06+0200,853671,Magic: The Gathering | Teenage Mutant Ninja Turtles Collector Booster Box,7,Magic Display,6345,0,2025-10-13 14:34:50,274.06,239,276.46,,,
2026-08-21,2026-08-21T02:48:06+0200,696391,March of the Machine Collector Booster Box,7,Magic Display,5227,0,2023-02-10 22:28:20,540.55,519.9,707.02,,,
2026-08-21,2026-08-21T02:48:06+0200,703885,March of the Machine: The Aftermath Collector Booster Box,7,Magic Display,5320,0,2023-03-31 15:26:44,174.99,93,168.73,,,
2026-08-21,2026-08-21T02:48:06+0200,562095,Modern Horizons 2 Collector Booster Box,7,Magic Display,4219,0,2021-04-27 14:45:19,456.73,400,454.45,,,
2026-08-21,2026-08-21T02:48:06+0200,758483,Modern Horizons 3 Collector Booster Box,7,Magic Display,5652,0,2024-02-26 11:57:51,665,589,704.96,,,
2026-08-21,2026-08-21T02:48:06+0200,748052,Murders at Karlov Manor Collector Booster Box,7,Magic Display,5561,0,2023-12-06 14:17:20,271.06,219.99,321.78,,,
2026-08-21,2026-08-21T02:48:06+0200,758326,Outlaws of Thunder Junction Collector Booster Box,7,Magic Display,5647,0,2024-02-24 10:01:37,379.18,246,365.05,,,
2026-08-21,2026-08-21T02:48:06+0200,683494,Phyrexia: All Will Be One Collector Booster Box,7,Magic Display,5184,0,2022-11-04 18:30:08,747.19,590,683.39,,,
2026-08-21,2026-08-21T02:48:06+0200,370211,Ravnica Allegiance Collector Booster Box,7,Magic Display,2411,0,2019-02-19 13:48:40,1174.5,1100,720.25,,,
2026-08-21,2026-08-21T02:48:06+0200,737484,Ravnica Remastered Collector Booster Box,7,Magic Display,5505,0,2023-10-05 11:05:56,1311.5,1200,1072.34,,,
2026-08-21,2026-08-21T02:48:06+0200,885563,Reality Fracture Collector Booster Box,7,Magic Display,6571,0,2026-05-02 12:17:47,305.49,297.5,303.2,,,
2026-08-21,2026-08-21T02:48:06+0200,869357,Secrets of Strixhaven Collector Booster Box,7,Magic Display,6474,0,2026-01-28 10:47:39,347.01,339,388.03,,,
2026-08-21,2026-08-21T02:48:06+0200,897523,Star Trek Collector Booster Box,7,Magic Display,6657,0,2026-07-15 13:15:58,401.92,379.99,413.99,,,
2026-08-21,2026-08-21T02:48:06+0200,611248,Streets of New Capenna Collector Booster Box,7,Magic Display,4975,0,2022-03-04 16:18:49,192.45,159.99,195.67,,,
2026-08-21,2026-08-21T02:48:06+0200,540411,Strixhaven: School of Mages Collector Booster Box,7,Magic Display,3741,0,2021-02-19 14:36:40,402.26,440,407.02,,,
2026-08-21,2026-08-21T02:48:06+0200,813080,Tarkir: Dragonstorm Collector Booster Box,7,Magic Display,6060,0,2025-02-24 09:46:00,373.34,349.9,437.66,,,
2026-08-21,2026-08-21T02:48:06+0200,677805,The Brothers' War Collector Booster Box,7,Magic Display,5164,0,2022-09-29 11:06:30,612.97,350,666.87,,,
2026-08-21,2026-08-21T02:48:06+0200,885552,The Hobbit Collector Booster Box,7,Magic Display,6570,0,2026-05-02 11:28:12,663.98,568.99,691.21,,,
2026-08-21,2026-08-21T02:48:06+0200,698912,The Lord of the Rings: Tales of Middle-earth Collector Booster Box,7,Magic Display,5285,0,2023-02-22 12:27:41,1572.21,1200,1708.77,,,
2026-08-21,2026-08-21T02:48:06+0200,732335,The Lord of the Rings: Tales of Middle-earth Special Edition Collector Booster Box,7,Magic Display,5489,0,2023-09-08 15:57:44,6249.33,6427,6984.27,,,
2026-08-21,2026-08-21T02:48:06+0200,734175,The Lost Caverns of Ixalan Collector Booster Box,7,Magic Display,5490,0,2023-09-23 10:44:56,884,649.9,788.59,,,
2026-08-21,2026-08-21T02:48:06+0200,426911,Theros Beyond Death Collector Booster Box,7,Magic Display,2814,0,2019-11-28 14:23:23,230.59,209.99,229.74,,,
2026-08-21,2026-08-21T02:48:06+0200,398849,Throne of Eldraine Collector Booster Box,7,Magic Display,2582,0,2019-09-04 15:32:27,272.48,284,275.85,,,
2026-08-21,2026-08-21T02:48:06+0200,586736,Unfinity Collector Booster Box,7,Magic Display,4468,0,2021-11-30 14:50:09,277.61,211.88,321.59,,,
2026-08-21,2026-08-21T02:48:06+0200,758498,Universes Beyond: Assassin's Creed Collector Booster Box,7,Magic Display,5655,0,2024-02-26 14:59:45,389.12,290,443.03,,,
2026-08-21,2026-08-21T02:48:06+0200,710800,Universes Beyond: Doctor Who Collector Booster Box,7,Magic Display,5358,0,2023-05-08 09:18:46,490.88,244.95,505.88,,,
2026-08-21,2026-08-21T02:48:06+0200,745340,Universes Beyond: Fallout Collector Booster Box,7,Magic Display,5544,0,2023-11-14 15:21:27,1236.85,900,1233.99,,,
2026-08-21,2026-08-21T02:48:06+0200,719684,Wilds of Eldraine Collector Booster Box,7,Magic Display,5359,0,2023-06-21 14:21:48,739.66,450,735.83,,,
2026-08-21,2026-08-21T02:48:06+0200,486979,Zendikar Rising Collector Booster Box,7,Magic Display,3404,0,2020-07-31 14:02:38,337.05,309.99,344.82,,,
